dataset,platform,aligner,depth,caller,sv_type,count,total_calls,proportion
BGI_latest,BGI,minimap2,30x,Sniffles2,DEL,1583,3357,0.47155198093535894
BGI_latest,BGI,minimap2,30x,Sniffles2,INS,1402,3357,0.4176347929699136
BGI_latest,BGI,minimap2,30x,Sniffles2,DUP,94,3357,0.028001191540065536
BGI_latest,BGI,minimap2,30x,Sniffles2,INV,27,3357,0.00804289544235925
BGI_latest,BGI,minimap2,30x,Sniffles2,BND,251,3357,0.07476913911230265
ONT_latest,ONT,minimap2,30x,Sniffles2,DEL,934,2477,0.37706903512313283
ONT_latest,ONT,minimap2,30x,Sniffles2,INS,1189,2477,0.4800161485668147
ONT_latest,ONT,minimap2,30x,Sniffles2,DUP,76,2477,0.03068227694792087
ONT_latest,ONT,minimap2,30x,Sniffles2,INV,19,2477,0.007670569236980218
ONT_latest,ONT,minimap2,30x,Sniffles2,BND,259,2477,0.1045619701251514
HiFi_latest,HiFi,minimap2,30x,Sniffles2,DEL,312,1185,0.26329113924050634
HiFi_latest,HiFi,minimap2,30x,Sniffles2,INS,696,1185,0.5873417721518988
HiFi_latest,HiFi,minimap2,30x,Sniffles2,DUP,41,1185,0.03459915611814346
HiFi_latest,HiFi,minimap2,30x,Sniffles2,INV,11,1185,0.009282700421940928
HiFi_latest,HiFi,minimap2,30x,Sniffles2,BND,125,1185,0.10548523206751055
BGI_latest,BGI,winnowmap,30x,Sniffles2,DEL,1853,4098,0.45217179111761835
BGI_latest,BGI,winnowmap,30x,Sniffles2,INS,1788,4098,0.4363103953147877
BGI_latest,BGI,winnowmap,30x,Sniffles2,DUP,78,4098,0.01903367496339678
BGI_latest,BGI,winnowmap,30x,Sniffles2,INV,45,4098,0.010980966325036604
BGI_latest,BGI,winnowmap,30x,Sniffles2,BND,334,4098,0.08150317227916057
ONT_latest,ONT,winnowmap,30x,Sniffles2,DEL,1442,3620,0.3983425414364641
ONT_latest,ONT,winnowmap,30x,Sniffles2,INS,1747,3620,0.4825966850828729
ONT_latest,ONT,winnowmap,30x,Sniffles2,DUP,71,3620,0.019613259668508288
ONT_latest,ONT,winnowmap,30x,Sniffles2,INV,29,3620,0.008011049723756906
ONT_latest,ONT,winnowmap,30x,Sniffles2,BND,331,3620,0.09143646408839778
HiFi_latest,HiFi,winnowmap,30x,Sniffles2,DEL,608,1933,0.31453698913605793
HiFi_latest,HiFi,winnowmap,30x,Sniffles2,INS,1026,1933,0.5307811691670977
HiFi_latest,HiFi,winnowmap,30x,Sniffles2,DUP,62,1933,0.03207449560269012
HiFi_latest,HiFi,winnowmap,30x,Sniffles2,INV,20,1933,0.010346611484738748
HiFi_latest,HiFi,winnowmap,30x,Sniffles2,BND,217,1933,0.11226073460941542
