dataset,platform,aligner,depth,caller,vaf_bin,count,total_calls,proportion,mean_vaf,median_vaf,median_support
BGI_latest,BGI,minimap2,30x,Sniffles2,VAF 5–10%,1442,3357,0.42955019362526065,0.114,0.107,3
BGI_latest,BGI,minimap2,30x,Sniffles2,VAF 10–20%,1915,3357,0.5704498063747393,0.114,0.107,3
ONT_latest,ONT,minimap2,30x,Sniffles2,VAF 5–10%,1101,2477,0.44448930157448524,0.114,0.106,3
ONT_latest,ONT,minimap2,30x,Sniffles2,VAF 10–20%,1376,2477,0.5555106984255147,0.114,0.106,3
HiFi_latest,HiFi,minimap2,30x,Sniffles2,VAF 5–10%,423,1185,0.3569620253164557,0.122,0.118,3
HiFi_latest,HiFi,minimap2,30x,Sniffles2,VAF 10–20%,762,1185,0.6430379746835443,0.122,0.118,3
BGI_latest,BGI,winnowmap,30x,Sniffles2,VAF 5–10%,1728,4098,0.4216691068814056,0.116,0.111,3
BGI_latest,BGI,winnowmap,30x,Sniffles2,VAF 10–20%,2370,4098,0.5783308931185944,0.116,0.111,3
ONT_latest,ONT,winnowmap,30x,Sniffles2,VAF 5–10%,1560,3620,0.430939226519337,0.114,0.107,3
ONT_latest,ONT,winnowmap,30x,Sniffles2,VAF 10–20%,2060,3620,0.569060773480663,0.114,0.107,3
HiFi_latest,HiFi,winnowmap,30x,Sniffles2,VAF 5–10%,670,1933,0.34661148473874803,0.121,0.118,3
HiFi_latest,HiFi,winnowmap,30x,Sniffles2,VAF 10–20%,1263,1933,0.653388515261252,0.121,0.118,3
