benchmark,truth_set,reference,eval_mode,caller,platform,aligner,depth,depth_x,precision,recall,F1
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,BGI,minimap2,10x,10,0.92238,0.640619,0.756103
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,BGI,minimap2,30x,30,0.927075,0.683816,0.78707800000000006
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,BGI,minimap2,50x,50,0.926579,0.719086,0.809751
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,BGI,winnowmap,10x,10,0.924273,0.629361,0.748827
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,BGI,winnowmap,30x,30,0.924911,0.669456,0.776719
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,BGI,winnowmap,50x,50,0.921354,0.71194,0.803222
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,ONT,minimap2,10x,10,0.920655,0.685388,0.785789
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,ONT,minimap2,30x,30,0.924833,0.724781,0.812677
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,ONT,minimap2,50x,50,0.922745,0.757065,0.831735
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,ONT,winnowmap,10x,10,0.91942,0.669542,0.774833
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,ONT,winnowmap,30x,30,0.920285,0.709283,0.801124
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,ONT,winnowmap,50x,50,0.916564,0.747978,0.823734
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,HiFi,minimap2,10x,10,0.941817,0.653522,0.77162
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,HiFi,minimap2,30x,30,0.941349,0.686321,0.793856
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,HiFi,minimap2,50x,50,0.938043,0.754482,0.836309
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,HiFi,winnowmap,10x,10,0.918229,0.626496,0.744815
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,HiFi,winnowmap,30x,30,0.920657,0.656491,0.766451
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,HiFi,winnowmap,50x,50,0.91409,0.728099,0.810562
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,BGI,minimap2,10x,10,0.926705,0.596164,0.725562
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,BGI,minimap2,30x,30,0.923658,0.711045,0.803525
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,BGI,minimap2,50x,50,0.925299,0.717588,0.808313
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,BGI,winnowmap,10x,10,0.931933,0.577562,0.713151
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,BGI,winnowmap,30x,30,0.92601,0.697891,0.795928
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,BGI,winnowmap,50x,50,0.926203,0.710148,0.803912
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,ONT,minimap2,10x,10,0.926301,0.664533,0.77388
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,ONT,minimap2,30x,30,0.922248,0.758289,0.83227
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,ONT,minimap2,50x,50,0.922495,0.762193,0.834717
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,ONT,winnowmap,10x,10,0.927308,0.640705,0.757814
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,ONT,winnowmap,30x,30,0.921176,0.740635,0.821098
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,ONT,winnowmap,50x,50,0.919555,0.747439,0.824611
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,HiFi,minimap2,10x,10,0.947876,0.628852,0.75609
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,HiFi,minimap2,30x,30,0.941881,0.75074,0.835518
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,HiFi,minimap2,50x,50,0.941016,0.761304,0.841674
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,HiFi,winnowmap,10x,10,0.930512,0.594477,0.725472
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,HiFi,winnowmap,30x,30,0.923548,0.716691,0.807075
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,HiFi,winnowmap,50x,50,0.921415,0.727791,0.813237
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,BGI,minimap2,10x,10,0.922128,0.686226,0.786877
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,BGI,minimap2,30x,30,0.900805,0.749563,0.818254
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,BGI,minimap2,50x,50,0.886127,0.757848,0.816983
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,BGI,winnowmap,10x,10,0.92085,0.679851,0.782209
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,BGI,winnowmap,30x,30,0.898743,0.74691,0.815822
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,BGI,winnowmap,50x,50,0.884138,0.755962,0.815041
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,ONT,minimap2,10x,10,0.922951,0.720868,0.809488
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,ONT,minimap2,30x,30,0.912196,0.761981,0.83035
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,ONT,minimap2,50x,50,0.90667,0.767126,0.831081
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,ONT,winnowmap,10x,10,0.922411,0.714469,0.805232
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,ONT,winnowmap,30x,30,0.909592,0.760734,0.82853
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,ONT,winnowmap,50x,50,0.904918,0.767235,0.830408
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,HiFi,minimap2,10x,10,0.92507,0.706903,0.801404
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,HiFi,minimap2,30x,30,0.913739,0.753031,0.825637
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,HiFi,minimap2,50x,50,0.908126,0.758368,0.826518
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,HiFi,winnowmap,10x,10,0.924662,0.699063,0.796191
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,HiFi,winnowmap,30x,30,0.91217,0.751941,0.824342
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,HiFi,winnowmap,50x,50,0.905282,0.760066,0.826343
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,BGI,minimap2,10x,10,0.858042,0.678877,0.758017
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,BGI,minimap2,30x,30,0.904132,0.757044,0.824076
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,BGI,minimap2,50x,50,0.908857,0.766886,0.831857
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,BGI,winnowmap,10x,10,0.860518,0.664807,0.750107
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,BGI,winnowmap,30x,30,0.906668,0.754237,0.823458
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,BGI,winnowmap,50x,50,0.909256,0.765678,0.831313
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,ONT,minimap2,10x,10,0.921609,0.733452,0.816835
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,ONT,minimap2,30x,30,0.927626,0.776301,0.845244
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,ONT,minimap2,50x,50,0.929449,0.77957,0.847937
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,ONT,winnowmap,10x,10,0.923748,0.723219,0.811276
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,ONT,winnowmap,30x,30,0.929212,0.775839,0.845628
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,ONT,winnowmap,50x,50,0.929333,0.780281,0.848309
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,HiFi,minimap2,10x,10,0.95279,0.690069,0.800423
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,HiFi,minimap2,30x,30,0.945301,0.768556,0.847815
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,HiFi,minimap2,50x,50,0.945166,0.779002,0.854077
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,HiFi,winnowmap,10x,10,0.944636,0.678167,0.789524
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,HiFi,winnowmap,30x,30,0.936845,0.754201,0.83566
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,HiFi,winnowmap,50x,50,0.937878,0.764328,0.842255
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,BGI,minimap2,10x,10,0.8837,0.7005,0.7815
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,BGI,minimap2,30x,30,0.9153,0.7465,0.8223
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,BGI,minimap2,50x,50,0.9162,0.7558,0.8283
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,BGI,winnowmap,10x,10,0.9371,0.6866,0.7926
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,BGI,winnowmap,30x,30,0.9461,0.7281,0.8229
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,BGI,winnowmap,50x,50,0.9593,0.7604,0.8483
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,ONT,minimap2,10x,10,0.9156,0.6498,0.7601
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,ONT,minimap2,30x,30,0.9198,0.6866,0.7863
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,ONT,minimap2,50x,50,0.9261,0.7512,0.8295
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,ONT,winnowmap,10x,10,0.94,0.6498,0.7684
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,ONT,winnowmap,30x,30,0.9669,0.6728,0.7935
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,ONT,winnowmap,50x,50,0.9595,0.765,0.8513
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,HiFi,minimap2,10x,10,0.9328,0.576,0.7123
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,HiFi,minimap2,30x,30,0.9412,0.5899,0.7252
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,HiFi,minimap2,50x,50,0.9422,0.7512,0.8359
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,HiFi,winnowmap,10x,10,0.9385,0.5622,0.7032
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,HiFi,winnowmap,30x,30,0.9478,0.5853,0.7236
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,HiFi,winnowmap,50x,50,0.9353,0.7327,0.8217
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,BGI,minimap2,10x,10,0.908,0.682,0.7789
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,BGI,minimap2,30x,30,0.9198,0.7926,0.8515
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,BGI,minimap2,50x,50,0.9211,0.8065,0.86
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,BGI,winnowmap,10x,10,0.9363,0.6774,0.7861
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,BGI,winnowmap,30x,30,0.9344,0.788,0.855
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,BGI,winnowmap,50x,50,0.9508,0.8018,0.87
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,ONT,minimap2,10x,10,0.9167,0.659,0.7668
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,ONT,minimap2,30x,30,0.9243,0.788,0.8507
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,ONT,minimap2,50x,50,0.9301,0.7972,0.8586
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,ONT,winnowmap,10x,10,0.9474,0.6636,0.7805
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,ONT,winnowmap,30x,30,0.9344,0.788,0.855
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,ONT,winnowmap,50x,50,0.9459,0.8065,0.8706
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,HiFi,minimap2,10x,10,0.9318,0.5668,0.7049
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,HiFi,minimap2,30x,30,0.9382,0.7696,0.8456
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,HiFi,minimap2,50x,50,0.9441,0.7788,0.8535
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,HiFi,winnowmap,10x,10,0.9375,0.553,0.6957
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,HiFi,winnowmap,30x,30,0.9218,0.7604,0.8333
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,HiFi,winnowmap,50x,50,0.9444,0.7834,0.8564
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,BGI,minimap2,10x,10,0.9882,0.7742,0.8682
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,BGI,minimap2,30x,30,0.962,0.8157,0.8828
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,BGI,minimap2,50x,50,0.9474,0.8295,0.8845
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,BGI,winnowmap,10x,10,0.9605,0.7834,0.8629
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,BGI,winnowmap,30x,30,0.9365,0.8157,0.8719
