dataset,platform,aligner,depth,caller,mark,category,count,proportion,total_calls,mean_vaf,median_vaf,median_support
BGI_latest,BGI,minimap2,30x,Sniffles2,stacked bar,DEL,1583,0.47155198093535894,3357,0.114,0.107,3
BGI_latest,BGI,minimap2,30x,Sniffles2,stacked bar,INS,1402,0.4176347929699136,3357,0.114,0.107,3
BGI_latest,BGI,minimap2,30x,Sniffles2,stacked bar,DUP,94,0.028001191540065536,3357,0.114,0.107,3
BGI_latest,BGI,minimap2,30x,Sniffles2,stacked bar,INV,27,0.00804289544235925,3357,0.114,0.107,3
BGI_latest,BGI,minimap2,30x,Sniffles2,stacked bar,BND,251,0.07476913911230265,3357,0.114,0.107,3
BGI_latest,BGI,winnowmap,30x,Sniffles2,stacked bar,DEL,1853,0.45217179111761835,4098,0.116,0.111,3
BGI_latest,BGI,winnowmap,30x,Sniffles2,stacked bar,INS,1788,0.4363103953147877,4098,0.116,0.111,3
BGI_latest,BGI,winnowmap,30x,Sniffles2,stacked bar,DUP,78,0.01903367496339678,4098,0.116,0.111,3
BGI_latest,BGI,winnowmap,30x,Sniffles2,stacked bar,INV,45,0.010980966325036604,4098,0.116,0.111,3
BGI_latest,BGI,winnowmap,30x,Sniffles2,stacked bar,BND,334,0.08150317227916057,4098,0.116,0.111,3
ONT_latest,ONT,minimap2,30x,Sniffles2,stacked bar,DEL,934,0.37706903512313283,2477,0.114,0.106,3
ONT_latest,ONT,minimap2,30x,Sniffles2,stacked bar,INS,1189,0.4800161485668147,2477,0.114,0.106,3
ONT_latest,ONT,minimap2,30x,Sniffles2,stacked bar,DUP,76,0.03068227694792087,2477,0.114,0.106,3
ONT_latest,ONT,minimap2,30x,Sniffles2,stacked bar,INV,19,0.007670569236980218,2477,0.114,0.106,3
ONT_latest,ONT,minimap2,30x,Sniffles2,stacked bar,BND,259,0.1045619701251514,2477,0.114,0.106,3
ONT_latest,ONT,winnowmap,30x,Sniffles2,stacked bar,DEL,1442,0.3983425414364641,3620,0.114,0.107,3
ONT_latest,ONT,winnowmap,30x,Sniffles2,stacked bar,INS,1747,0.4825966850828729,3620,0.114,0.107,3
ONT_latest,ONT,winnowmap,30x,Sniffles2,stacked bar,DUP,71,0.019613259668508288,3620,0.114,0.107,3
ONT_latest,ONT,winnowmap,30x,Sniffles2,stacked bar,INV,29,0.008011049723756906,3620,0.114,0.107,3
ONT_latest,ONT,winnowmap,30x,Sniffles2,stacked bar,BND,331,0.09143646408839778,3620,0.114,0.107,3
HiFi_latest,HiFi,minimap2,30x,Sniffles2,stacked bar,DEL,312,0.26329113924050634,1185,0.122,0.118,3
HiFi_latest,HiFi,minimap2,30x,Sniffles2,stacked bar,INS,696,0.5873417721518988,1185,0.122,0.118,3
HiFi_latest,HiFi,minimap2,30x,Sniffles2,stacked bar,DUP,41,0.03459915611814346,1185,0.122,0.118,3
HiFi_latest,HiFi,minimap2,30x,Sniffles2,stacked bar,INV,11,0.009282700421940928,1185,0.122,0.118,3
HiFi_latest,HiFi,minimap2,30x,Sniffles2,stacked bar,BND,125,0.10548523206751055,1185,0.122,0.118,3
HiFi_latest,HiFi,winnowmap,30x,Sniffles2,stacked bar,DEL,608,0.31453698913605793,1933,0.121,0.118,3
HiFi_latest,HiFi,winnowmap,30x,Sniffles2,stacked bar,INS,1026,0.5307811691670977,1933,0.121,0.118,3
HiFi_latest,HiFi,winnowmap,30x,Sniffles2,stacked bar,DUP,62,0.03207449560269012,1933,0.121,0.118,3
HiFi_latest,HiFi,winnowmap,30x,Sniffles2,stacked bar,INV,20,0.010346611484738748,1933,0.121,0.118,3
HiFi_latest,HiFi,winnowmap,30x,Sniffles2,stacked bar,BND,217,0.11226073460941542,1933,0.121,0.118,3
BGI_latest,BGI,minimap2,30x,Sniffles2,pie,VAF 5–10%,1442,0.42955019362526065,3357,0.114,0.107,3
BGI_latest,BGI,minimap2,30x,Sniffles2,pie,VAF 10–20%,1915,0.5704498063747393,3357,0.114,0.107,3
BGI_latest,BGI,winnowmap,30x,Sniffles2,pie,VAF 5–10%,1728,0.4216691068814056,4098,0.116,0.111,3
BGI_latest,BGI,winnowmap,30x,Sniffles2,pie,VAF 10–20%,2370,0.5783308931185944,4098,0.116,0.111,3
HiFi_latest,HiFi,minimap2,30x,Sniffles2,pie,VAF 5–10%,423,0.3569620253164557,1185,0.122,0.118,3
HiFi_latest,HiFi,minimap2,30x,Sniffles2,pie,VAF 10–20%,762,0.6430379746835443,1185,0.122,0.118,3
HiFi_latest,HiFi,winnowmap,30x,Sniffles2,pie,VAF 5–10%,670,0.34661148473874803,1933,0.121,0.118,3
HiFi_latest,HiFi,winnowmap,30x,Sniffles2,pie,VAF 10–20%,1263,0.653388515261252,1933,0.121,0.118,3
ONT_latest,ONT,minimap2,30x,Sniffles2,pie,VAF 5–10%,1101,0.44448930157448524,2477,0.114,0.106,3
ONT_latest,ONT,minimap2,30x,Sniffles2,pie,VAF 10–20%,1376,0.5555106984255147,2477,0.114,0.106,3
ONT_latest,ONT,winnowmap,30x,Sniffles2,pie,VAF 5–10%,1560,0.430939226519337,3620,0.114,0.107,3
ONT_latest,ONT,winnowmap,30x,Sniffles2,pie,VAF 10–20%,2060,0.569060773480663,3620,0.114,0.107,3
