platform,mapper,reference,depth,depth_x,depth_index,numerator_blockwise_hamming_errors,denominator_covered_variants,source_hamming_rate,plotted_hamming_error_pct,log10_display_coordinate,truth_het_snvs,transformation
BGI,minimap2,GRCh38,10x,10,1,145617,2041615,0.0713,7.132441718933295,0.8532382316085979,2184586,100 * Blockwise Hamming / Covered variants
BGI,minimap2,GRCh38,30x,30,2,158638,2113731,0.0751,7.50511772784711,0.8753575091247061,2184586,100 * Blockwise Hamming / Covered variants
BGI,minimap2,GRCh38,50x,50,3,169488,2117709,0.08,8.00336590154738,0.9032726726218547,2184586,100 * Blockwise Hamming / Covered variants
BGI,winnowmap,GRCh38,10x,10,1,149832,2045361,0.0733,7.325455017476132,0.8648346058782492,2184586,100 * Blockwise Hamming / Covered variants
BGI,winnowmap,GRCh38,30x,30,2,155635,2116770,0.0735,7.35247570591042,0.8664335981833262,2184586,100 * Blockwise Hamming / Covered variants
BGI,winnowmap,GRCh38,50x,50,3,188745,2119826,0.089,8.903796821059842,0.9495752411178326,2184586,100 * Blockwise Hamming / Covered variants
ONT,minimap2,GRCh38,10x,10,1,330437,2054057,0.1609,16.087041401480096,1.2064761795149026,2184586,100 * Blockwise Hamming / Covered variants
ONT,minimap2,GRCh38,30x,30,2,94956,2113682,0.0449,4.492444937317913,0.6524827627836739,2184586,100 * Blockwise Hamming / Covered variants
ONT,minimap2,GRCh38,50x,50,3,125156,2113800,0.0592,5.920900747469013,0.7723877810300148,2184586,100 * Blockwise Hamming / Covered variants
ONT,winnowmap,GRCh38,10x,10,1,340798,2054475,0.1659,16.588082113435306,1.2197961765185765,2184586,100 * Blockwise Hamming / Covered variants
ONT,winnowmap,GRCh38,30x,30,2,105055,2115397,0.0497,4.966207288750055,0.6960248429836445,2184586,100 * Blockwise Hamming / Covered variants
ONT,winnowmap,GRCh38,50x,50,3,126450,2116457,0.0597,5.97460756348936,0.7763093843300812,2184586,100 * Blockwise Hamming / Covered variants
HiFi,minimap2,GRCh38,10x,10,1,30327,2060135,0.0147,1.4720879942333875,0.16793377078124325,2184586,100 * Blockwise Hamming / Covered variants
HiFi,minimap2,GRCh38,30x,30,2,35747,2125536,0.0168,1.6817875585264142,0.22577113534614698,2184586,100 * Blockwise Hamming / Covered variants
HiFi,minimap2,GRCh38,50x,50,3,47975,2130029,0.0225,2.2523167524949192,0.35262946707945764,2184586,100 * Blockwise Hamming / Covered variants
HiFi,winnowmap,GRCh38,10x,10,1,38058,2057431,0.0185,1.849782568649933,0.2671206825732206,2184586,100 * Blockwise Hamming / Covered variants
HiFi,winnowmap,GRCh38,30x,30,2,45598,2115858,0.0216,2.155059555036302,0.3334592763836417,2184586,100 * Blockwise Hamming / Covered variants
HiFi,winnowmap,GRCh38,50x,50,3,58795,2119289,0.0277,2.7742794871298817,0.4431502107401618,2184586,100 * Blockwise Hamming / Covered variants
