platform,mapper,reference,depth,depth_x,depth_index,source_ng50_kb,plotted_ng50_mb,benchmark_snps,phased_snps,phased_snp_rate,phase_blocks,transformation
BGI,minimap2,GRCh38,10x,10,1,614.5,0.6145,2113359,2073646,0.9812,6772,NG50 (kb) / 1000
BGI,minimap2,GRCh38,30x,30,2,1696.4,1.6964000000000001,2141949,2116296,0.988,2468,NG50 (kb) / 1000
BGI,minimap2,GRCh38,50x,50,3,2565.3,2.5653,2142520,2115320,0.9873,1688,NG50 (kb) / 1000
BGI,winnowmap,GRCh38,10x,10,1,635.9,0.6359,2118772,2079192,0.9813,6632,NG50 (kb) / 1000
BGI,winnowmap,GRCh38,30x,30,2,1736.8,1.7368,2143456,2115422,0.9869,2444,NG50 (kb) / 1000
BGI,winnowmap,GRCh38,50x,50,3,2516.1,2.5161,2142814,2113191,0.9862,1713,NG50 (kb) / 1000
ONT,minimap2,GRCh38,10x,10,1,820.7,0.8207000000000001,2229883,2188349,0.9814,5287,NG50 (kb) / 1000
ONT,minimap2,GRCh38,30x,30,2,1022.1,1.0221,2140548,2122474,0.9916,4102,NG50 (kb) / 1000
ONT,minimap2,GRCh38,50x,50,3,1190.7,1.1907,2136918,2118864,0.9916,3499,NG50 (kb) / 1000
ONT,winnowmap,GRCh38,10x,10,1,803.1,0.8031,2232699,2190286,0.981,5307,NG50 (kb) / 1000
ONT,winnowmap,GRCh38,30x,30,2,1024.1,1.0241,2141440,2121771,0.9908,4113,NG50 (kb) / 1000
ONT,winnowmap,GRCh38,50x,50,3,1191.3,1.1913,2138045,2117992,0.9906,3499,NG50 (kb) / 1000
HiFi,minimap2,GRCh38,10x,10,1,169.8,0.1698,2088042,2076758,0.9946,15672,NG50 (kb) / 1000
HiFi,minimap2,GRCh38,30x,30,2,325.7,0.3257,2149802,2140935,0.9959,10597,NG50 (kb) / 1000
HiFi,minimap2,GRCh38,50x,50,3,373.3,0.3733,2153588,2145183,0.9961,9491,NG50 (kb) / 1000
HiFi,winnowmap,GRCh38,10x,10,1,173.2,0.1732,2087779,2074452,0.9936,15483,NG50 (kb) / 1000
HiFi,winnowmap,GRCh38,30x,30,2,320.7,0.3207,2139811,2127937,0.9945,10608,NG50 (kb) / 1000
HiFi,winnowmap,GRCh38,50x,50,3,370.5,0.3705,2141605,2129451,0.9943,9517,NG50 (kb) / 1000
