platform,mapper,reference,depth,metric,display_value,display_unit,numerator,denominator,source_value,source_value_unit,truth_het_snvs,transformation
HiFi,minimap2,GRCh38,30x,"Phased heterozygous
SNVs (%)",97.43432987619998,%,4889660,5018416,0.9743,fraction,2184586,100 * Phased SNVs / Het SNVs
HiFi,winnowmap,GRCh38,30x,"Phased heterozygous
SNVs (%)",99.73265455316796,%,5265944,5280060,0.9973,fraction,2184586,100 * Phased SNVs / Het SNVs
ONT,minimap2,GRCh38,30x,"Phased heterozygous
SNVs (%)",94.60236096480273,%,5226648,5524860,0.946,fraction,2184586,100 * Phased SNVs / Het SNVs
ONT,winnowmap,GRCh38,30x,"Phased heterozygous
SNVs (%)",99.48380408846934,%,5635276,5664516,0.9948,fraction,2184586,100 * Phased SNVs / Het SNVs
BGI,minimap2,GRCh38,30x,"Phased heterozygous
SNVs (%)",95.026971644551125,%,5153058,5422732,0.9503,fraction,2184586,100 * Phased SNVs / Het SNVs
BGI,winnowmap,GRCh38,30x,"Phased heterozygous
SNVs (%)",99.50770807763377,%,5459572,5486582,0.9951,fraction,2184586,100 * Phased SNVs / Het SNVs
HiFi,minimap2,GRCh38,30x,"Phase-block
NG50 (Mb)",0.616,Mb,,,0.616,Mb,2184586,none; WhatsHap block NG50 is recorded in Mb
HiFi,winnowmap,GRCh38,30x,"Phase-block
NG50 (Mb)",0.615,Mb,,,0.615,Mb,2184586,none; WhatsHap block NG50 is recorded in Mb
ONT,minimap2,GRCh38,30x,"Phase-block
NG50 (Mb)",1.586,Mb,,,1.586,Mb,2184586,none; WhatsHap block NG50 is recorded in Mb
ONT,winnowmap,GRCh38,30x,"Phase-block
NG50 (Mb)",1.561,Mb,,,1.561,Mb,2184586,none; WhatsHap block NG50 is recorded in Mb
BGI,minimap2,GRCh38,30x,"Phase-block
NG50 (Mb)",2.503,Mb,,,2.503,Mb,2184586,none; WhatsHap block NG50 is recorded in Mb
BGI,winnowmap,GRCh38,30x,"Phase-block
NG50 (Mb)",2.535,Mb,,,2.535,Mb,2184586,none; WhatsHap block NG50 is recorded in Mb
HiFi,minimap2,GRCh38,30x,"Switch errors per 10,000
assessed pairs",7.798650280841159,"errors per 10,000 assessed pairs",1651,2117033,7.8e-4,fraction,2184586,10000 * Switch errors / Assessed pairs
HiFi,winnowmap,GRCh38,30x,"Switch errors per 10,000
assessed pairs",6.894849978883633,"errors per 10,000 assessed pairs",1453,2107370,6.89e-4,fraction,2184586,10000 * Switch errors / Assessed pairs
ONT,minimap2,GRCh38,30x,"Switch errors per 10,000
assessed pairs",4.82316331287832,"errors per 10,000 assessed pairs",1018,2110648,4.82e-4,fraction,2184586,10000 * Switch errors / Assessed pairs
ONT,winnowmap,GRCh38,30x,"Switch errors per 10,000
assessed pairs",5.3967307173391275,"errors per 10,000 assessed pairs",1140,2112390,5.4e-4,fraction,2184586,10000 * Switch errors / Assessed pairs
BGI,minimap2,GRCh38,30x,"Switch errors per 10,000
assessed pairs",4.602453600212509,"errors per 10,000 assessed pairs",972,2111917,4.6e-4,fraction,2184586,10000 * Switch errors / Assessed pairs
BGI,winnowmap,GRCh38,30x,"Switch errors per 10,000
assessed pairs",4.4965113029811725,"errors per 10,000 assessed pairs",951,2114973,4.5e-4,fraction,2184586,10000 * Switch errors / Assessed pairs
HiFi,minimap2,GRCh38,30x,"Blockwise Hamming
error (%)",1.6817875585264142,%,35747,2125536,0.0168,fraction,2184586,100 * Blockwise Hamming / Covered variants
HiFi,winnowmap,GRCh38,30x,"Blockwise Hamming
error (%)",2.155059555036302,%,45598,2115858,0.0216,fraction,2184586,100 * Blockwise Hamming / Covered variants
ONT,minimap2,GRCh38,30x,"Blockwise Hamming
error (%)",4.492444937317913,%,94956,2113682,0.0449,fraction,2184586,100 * Blockwise Hamming / Covered variants
ONT,winnowmap,GRCh38,30x,"Blockwise Hamming
error (%)",4.966207288750055,%,105055,2115397,0.0497,fraction,2184586,100 * Blockwise Hamming / Covered variants
BGI,minimap2,GRCh38,30x,"Blockwise Hamming
error (%)",7.50511772784711,%,158638,2113731,0.0751,fraction,2184586,100 * Blockwise Hamming / Covered variants
BGI,winnowmap,GRCh38,30x,"Blockwise Hamming
error (%)",7.35247570591042,%,155635,2116770,0.0735,fraction,2184586,100 * Blockwise Hamming / Covered variants
