platform,mapper,reference,depth,depth_x,depth_index,numerator_phased_snvs,denominator_heterozygous_snvs,source_phased_snv_rate,plotted_phased_heterozygous_snv_pct,transformation
BGI,minimap2,GRCh38,10x,10,1,5032436,5213428,0.9653,96.52834948521395,100 * Phased SNVs / Het SNVs
BGI,minimap2,GRCh38,30x,30,2,5153058,5422732,0.9503,95.026971644551125,100 * Phased SNVs / Het SNVs
BGI,minimap2,GRCh38,50x,50,3,5204406,5503980,0.9456,94.55713865239336,100 * Phased SNVs / Het SNVs
BGI,winnowmap,GRCh38,10x,10,1,5437572,5463110,0.9953,99.53253732763939,100 * Phased SNVs / Het SNVs
BGI,winnowmap,GRCh38,30x,30,2,5459572,5486582,0.9951,99.50770807763377,100 * Phased SNVs / Het SNVs
BGI,winnowmap,GRCh38,50x,50,3,5442210,5470906,0.9948,99.47547992964968,100 * Phased SNVs / Het SNVs
ONT,minimap2,GRCh38,10x,10,1,5408308,5623784,0.9617,96.16848726764755,100 * Phased SNVs / Het SNVs
ONT,minimap2,GRCh38,30x,30,2,5226648,5524860,0.946,94.60236096480273,100 * Phased SNVs / Het SNVs
ONT,minimap2,GRCh38,50x,50,3,5221184,5521468,0.9456,94.56151878449717,100 * Phased SNVs / Het SNVs
ONT,winnowmap,GRCh38,10x,10,1,5952592,5985540,0.9945,99.44954005820695,100 * Phased SNVs / Het SNVs
ONT,winnowmap,GRCh38,30x,30,2,5635276,5664516,0.9948,99.48380408846934,100 * Phased SNVs / Het SNVs
ONT,winnowmap,GRCh38,50x,50,3,5545074,5572316,0.9951,99.51111889562617,100 * Phased SNVs / Het SNVs
HiFi,minimap2,GRCh38,10x,10,1,4753008,4820242,0.9861,98.60517376513461,100 * Phased SNVs / Het SNVs
HiFi,minimap2,GRCh38,30x,30,2,4889660,5018416,0.9743,97.43432987619998,100 * Phased SNVs / Het SNVs
HiFi,minimap2,GRCh38,50x,50,3,4890484,5062062,0.9661,96.61051168476403,100 * Phased SNVs / Het SNVs
HiFi,winnowmap,GRCh38,10x,10,1,5194168,5216410,0.9957,99.57361480405106,100 * Phased SNVs / Het SNVs
HiFi,winnowmap,GRCh38,30x,30,2,5265944,5280060,0.9973,99.73265455316796,100 * Phased SNVs / Het SNVs
HiFi,winnowmap,GRCh38,50x,50,3,5248150,5261770,0.9974,99.74115174171429,100 * Phased SNVs / Het SNVs
