platform,mapper,reference,depth,depth_x,depth_index,denominator_alignments_processed,numerator_tagged_h1_h2_alignments,h1_alignments,h2_alignments,source_taggable_rate,plotted_taggable_alignments_pct,h1_fraction,h2_fraction,h1_h2_ratio,source_h1_fraction,source_h2_fraction,source_h1_h2_ratio,non_h1_h2,phase_sets,transformation,unit_note
BGI,minimap2,GRCh38,10x,10,1,2751107,1447650,731854,715796,0.5262,52.62063598398753,0.5055462300970538,0.49445376990294615,1.0224337660450742,0.5055,0.4945,1.022,532425,7625,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
BGI,minimap2,GRCh38,30x,30,2,8248653,4348640,2183360,2165280,0.5272,52.71939551827432,0.5020788108466095,0.4979211891533905,1.008349959358605,0.5021,0.4979,1.008,1591116,3243,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
BGI,minimap2,GRCh38,50x,50,3,13736528,7235407,3623734,3611673,0.5267,52.6727496205737,0.5008334707363387,0.49916652926366134,1.0033394496124095,0.5008,0.4992,1.003,2661180,2715,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
BGI,winnowmap,GRCh38,10x,10,1,2519673,1468806,742605,726201,0.5829,58.29351665870929,0.5055841275158189,0.494415872484181,1.0225887874018351,0.5056,0.4944,1.023,504028,7862,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
BGI,winnowmap,GRCh38,30x,30,2,7556495,4415292,2220696,2194596,0.5843,58.43042309959843,0.5029556369091783,0.4970443630908216,1.0118928495267465,0.503,0.497,1.012,1503083,3155,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
BGI,winnowmap,GRCh38,50x,50,3,12586520,7343893,3680487,3663406,0.5835,58.34728741542539,0.5011629390569824,0.49883706094301755,1.0046626008692456,0.5012,0.4988,1.005,2517217,2440,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
ONT,minimap2,GRCh38,10x,10,1,2549917,1289046,653071,635975,0.5055,50.55246896271526,0.5066312606377119,0.4933687393622881,1.026881559809741,0.5066,0.4934,1.027,428347,5915,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
ONT,minimap2,GRCh38,30x,30,2,7649316,3804044,1917523,1886521,0.4973,49.73051185230157,0.5040748740025089,0.4959251259974911,1.0164334242767508,0.5041,0.4959,1.016,1350187,5109,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
ONT,minimap2,GRCh38,50x,50,3,12184535,6028441,3024243,3004198,0.4948,49.47616794567868,0.5016625359690838,0.4983374640309161,1.0066723298530922,0.5017,0.4983,1.007,2179412,4757,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
ONT,winnowmap,GRCh38,10x,10,1,2592306,1311160,663191,647969,0.5058,50.57890542243084,0.5058047835504439,0.4941952164495561,1.0234918645799413,0.5058,0.4942,1.023,406259,5953,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
ONT,winnowmap,GRCh38,30x,30,2,7787213,3863817,1939844,1923973,0.4962,49.617456206732754,0.5020537980965455,0.4979462019034545,1.0082490762604257,0.5021,0.4979,1.008,1289838,5021,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
ONT,winnowmap,GRCh38,50x,50,3,12411861,6129416,3072200,3057216,0.4938,49.38353724715415,0.5012223024183707,0.4987776975816293,1.0049011911490715,0.5012,0.4988,1.005,2077093,4425,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
HiFi,minimap2,GRCh38,10x,10,1,3059535,1789527,905457,884070,0.5849,58.490162720805614,0.5059756013739943,0.49402439862600567,1.0241915232956667,0.506,0.494,1.024,506887,18281,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
HiFi,minimap2,GRCh38,30x,30,2,9171667,5418437,2716752,2701685,0.5908,59.07799530881355,0.5013903455922806,0.4986096544077194,1.0055768899779212,0.5014,0.4986,1.006,1468096,11238,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
HiFi,minimap2,GRCh38,50x,50,3,15285550,9048118,4547655,4500463,0.5919,59.1939315235631,0.5026078351321236,0.4973921648678764,1.0104860322149076,0.5026,0.4974,1.01,2427412,9656,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
HiFi,winnowmap,GRCh38,10x,10,1,2784054,1821468,923634,897834,0.6543,65.42502408358459,0.5070821996323844,0.49291780036761557,1.0287358242169489,0.5071,0.4929,1.029,475019,18551,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
HiFi,winnowmap,GRCh38,30x,30,2,8342298,5513889,2769251,2744638,0.661,66.095565034958,0.5022319092749238,0.4977680907250763,1.0089676671386172,0.5022,0.4978,1.009,1372871,11559,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
HiFi,winnowmap,GRCh38,50x,50,3,13904016,9206934,4617946,4588988,0.6622,66.21780354683136,0.5015726190716693,0.4984273809283308,1.0063103237576563,0.5016,0.4984,1.006,2268981,9913,100 * (H1 + H2) / Alignments processed,alignments; not unique reads and not truth-validated assignments
