platform,mapper,reference,depth,depth_x,depth_index,truth_set,mask,truth_count,query_count,tp_base,fp,fn,source_precision,source_recall,source_f1,precision_recomputed,recall_recomputed,plotted_f1,transformation
BGI,minimap2,GRCh38,10x,10,1,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,16453,15138,1315,13007,0.9201,0.5379,0.6789,0.9200753661946149,0.5378575235388169,0.6788645230727836,2 * TP-base / (2 * TP-base + FP + FN)
BGI,minimap2,GRCh38,30x,30,2,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,19607,18008,1599,10137,0.9184,0.6398,0.7542,0.9184474932422094,0.639829454610055,0.7542301893114425,2 * TP-base / (2 * TP-base + FP + FN)
BGI,minimap2,GRCh38,50x,50,3,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,19663,18115,1548,10030,0.9213,0.6436,0.7578,0.9212734577633118,0.6436311955942441,0.7578229585006694,2 * TP-base / (2 * TP-base + FP + FN)
BGI,winnowmap,GRCh38,10x,10,1,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,15896,14719,1177,13426,0.926,0.523,0.6684,0.9259562154001006,0.5229703322082075,0.6684226062078518,2 * TP-base / (2 * TP-base + FP + FN)
BGI,winnowmap,GRCh38,30x,30,2,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,19271,17745,1526,10400,0.9208,0.6305,0.7485,0.9208136578278242,0.6304849884526559,0.7484815252235533,2 * TP-base / (2 * TP-base + FP + FN)
BGI,winnowmap,GRCh38,50x,50,3,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,19484,17955,1529,10190,0.9215,0.6379,0.754,0.9215253541367275,0.6379463492627465,0.7539524239433958,2 * TP-base / (2 * TP-base + FP + FN)
ONT,minimap2,GRCh38,10x,10,1,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,18154,16716,1438,11429,0.9208,0.5939,0.7221,0.920788806874518,0.593924320483212,0.722089030000648,2 * TP-base / (2 * TP-base + FP + FN)
ONT,minimap2,GRCh38,30x,30,2,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,20872,19119,1753,9026,0.916,0.6793,0.7801,0.9160118819471061,0.6793036063243916,0.7800967011445009,2 * TP-base / (2 * TP-base + FP + FN)
ONT,minimap2,GRCh38,50x,50,3,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,20899,19153,1746,8992,0.9165,0.6805,0.7811,0.9164553327910426,0.6805116361698348,0.7810537476551668,2 * TP-base / (2 * TP-base + FP + FN)
ONT,winnowmap,GRCh38,10x,10,1,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,17580,16202,1378,11943,0.9216,0.5757,0.7087,0.9216154721274176,0.5756617516432759,0.7086714051394204,2 * TP-base / (2 * TP-base + FP + FN)
ONT,winnowmap,GRCh38,30x,30,2,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,20510,18763,1747,9382,0.9148,0.6667,0.7713,0.9148220380302291,0.6666548232368094,0.7712670845750693,2 * TP-base / (2 * TP-base + FP + FN)
ONT,winnowmap,GRCh38,50x,50,3,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,20681,18892,1789,9253,0.9135,0.6712,0.7738,0.9134954789420241,0.6712382305915793,0.7738499979519109,2 * TP-base / (2 * TP-base + FP + FN)
HiFi,minimap2,GRCh38,10x,10,1,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,16806,15893,913,12252,0.9457,0.5647,0.7071,0.9456741639890516,0.5646828921655711,0.7071255366955129,2 * TP-base / (2 * TP-base + FP + FN)
HiFi,minimap2,GRCh38,30x,30,2,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,20303,19047,1256,9098,0.9381,0.6767,0.7863,0.93813722110033,0.6767454254752177,0.7862863276089829,2 * TP-base / (2 * TP-base + FP + FN)
HiFi,minimap2,GRCh38,50x,50,3,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,20547,19262,1285,8883,0.9375,0.6844,0.7912,0.937460456514333,0.6843844377331675,0.7911771954325146,2 * TP-base / (2 * TP-base + FP + FN)
HiFi,winnowmap,GRCh38,10x,10,1,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,16233,15029,1204,13116,0.9258,0.534,0.6773,0.9258300991806814,0.5339847219754841,0.6773175897967462,2 * TP-base / (2 * TP-base + FP + FN)
HiFi,winnowmap,GRCh38,30x,30,2,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,19774,18133,1641,10012,0.917,0.6443,0.7568,0.9170122382927076,0.6442707408065376,0.756818798388948,2 * TP-base / (2 * TP-base + FP + FN)
HiFi,winnowmap,GRCh38,50x,50,3,T2TQ100 v1.1 SV,T2TQ100 v1.1 BED,28145,20090,18379,1711,9766,0.9148,0.653,0.7621,0.9148332503733201,0.6530111920412152,0.7620607442728309,2 * TP-base / (2 * TP-base + FP + FN)
