platform,aligner,component,component_rate_per_1k,stack_start_per_1k,stack_end_per_1k,condition_x,platform_y,track_xmin,track_xmax,segment_xmin,segment_xmax
BGI,minimap2,Mismatch,0.42934589,0,0.42934589,1,3,0.21,1.79,0.21,0.24768703
BGI,minimap2,Insertion,2.08779031,0.42934589,2.51713619,1,3,0.21,1.79,0.24768703,0.43094862
BGI,minimap2,Deletion,15.03437465,2.51713619,17.55151084,1,3,0.21,1.79,0.43094862,1.75063262
ONT,minimap2,Mismatch,0.23874373,0,0.23874373,1,2,0.21,1.79,0.21,0.23095639
ONT,minimap2,Insertion,0.75062254,0.23874373,0.98936627,1,2,0.21,1.79,0.23095639,0.29684437
ONT,minimap2,Deletion,5.44680825,0.98936627,6.43617452,1,2,0.21,1.79,0.29684437,0.7749531
HiFi,minimap2,Mismatch,0.0420071,0,0.0420071,1,1,0.21,1.79,0.21,0.21368729
HiFi,minimap2,Insertion,0.42760116,0.0420071,0.46960826,1,1,0.21,1.79,0.21368729,0.25122117
HiFi,minimap2,Deletion,0.63112164,0.46960826,1.1007299,1,1,0.21,1.79,0.25122117,0.30661962
BGI,winnowmap,Mismatch,0.42969316,0,0.42969316,3,3,2.21,3.79,2.21,2.24771751
BGI,winnowmap,Insertion,2.08801036,0.42969316,2.51770351,3,3,2.21,3.79,2.24771751,2.43099842
BGI,winnowmap,Deletion,14.72164643,2.51770351,17.23934994,3,3,2.21,3.79,2.43099842,3.72323183
ONT,winnowmap,Mismatch,0.2402846,0,0.2402846,3,2,2.21,3.79,2.21,2.23109165
ONT,winnowmap,Insertion,0.74246431,0.2402846,0.9827489,3,2,2.21,3.79,2.23109165,2.29626351
ONT,winnowmap,Deletion,5.36857589,0.9827489,6.35132479,3,2,2.21,3.79,2.29626351,2.76750518
HiFi,winnowmap,Mismatch,0.03140787,0,0.03140787,3,1,2.21,3.79,2.21,2.21275691
HiFi,winnowmap,Insertion,0.43045362,0.03140787,0.46186149,3,1,2.21,3.79,2.21275691,2.25054118
HiFi,winnowmap,Deletion,0.65509122,0.46186149,1.11695271,3,1,2.21,3.79,2.25054118,2.30804363
