reference,platform,nominal_depth_x,minimap2_coverage_pct,winnowmap_coverage_pct,winnowmap_minus_minimap2_pp,absolute_difference_pp
GRCh38,BGI,10,92.65,92.62,-0.03,0.03
GRCh38,BGI,30,93.33,93.31,-0.02,0.02
GRCh38,BGI,50,93.55,93.53,-0.02,0.02
GRCh38,HiFi,10,92.5,92.29,-0.21,0.21
GRCh38,HiFi,30,93.12,92.94,-0.18,0.18
GRCh38,HiFi,50,93.3,93.14,-0.16,0.16
GRCh38,ONT,10,92.5,92.47,-0.03,0.03
GRCh38,ONT,30,93.15,93.12,-0.03,0.03
GRCh38,ONT,50,93.33,93.31,-0.02,0.02
T2T-CHM13,BGI,10,98.56,98.55,-0.01,0.01
T2T-CHM13,BGI,30,99.33,99.38,0.05,0.05
T2T-CHM13,BGI,50,99.53,99.58,0.05,0.05
T2T-CHM13,HiFi,10,97.85,97.72,-0.13,0.13
T2T-CHM13,HiFi,30,98.38,98.31,-0.07,0.07
T2T-CHM13,HiFi,50,98.54,98.49,-0.05,0.05
T2T-CHM13,ONT,10,98.84,98.84,0,0
T2T-CHM13,ONT,30,99.35,99.43,0.08,0.08
T2T-CHM13,ONT,50,99.47,99.58,0.11,0.11
