reference,aligner,source_dataset,platform,depth_label,nominal_depth_x,depth_index,coverage_fraction,coverage_pct,panel
GRCh38,minimap2,BGI_latest,BGI,10x,10,1,0.9265,92.65,GRCh38 · minimap2
GRCh38,minimap2,BGI_latest,BGI,30x,30,2,0.9333,93.33,GRCh38 · minimap2
GRCh38,minimap2,BGI_latest,BGI,50x,50,3,0.9355,93.55,GRCh38 · minimap2
GRCh38,minimap2,ONT_latest,ONT,10x,10,1,0.925,92.5,GRCh38 · minimap2
GRCh38,minimap2,ONT_latest,ONT,30x,30,2,0.9315,93.15,GRCh38 · minimap2
GRCh38,minimap2,ONT_latest,ONT,50x,50,3,0.9333,93.33,GRCh38 · minimap2
GRCh38,minimap2,HiFi_latest,HiFi,10x,10,1,0.925,92.5,GRCh38 · minimap2
GRCh38,minimap2,HiFi_latest,HiFi,30x,30,2,0.9312,93.12,GRCh38 · minimap2
GRCh38,minimap2,HiFi_latest,HiFi,50x,50,3,0.933,93.3,GRCh38 · minimap2
GRCh38,winnowmap,BGI_latest,BGI,10x,10,1,0.9262,92.62,GRCh38 · winnowmap
GRCh38,winnowmap,BGI_latest,BGI,30x,30,2,0.9331,93.31,GRCh38 · winnowmap
GRCh38,winnowmap,BGI_latest,BGI,50x,50,3,0.9353,93.53,GRCh38 · winnowmap
GRCh38,winnowmap,ONT_latest,ONT,10x,10,1,0.9247,92.47,GRCh38 · winnowmap
GRCh38,winnowmap,ONT_latest,ONT,30x,30,2,0.9312,93.12,GRCh38 · winnowmap
GRCh38,winnowmap,ONT_latest,ONT,50x,50,3,0.9331,93.31,GRCh38 · winnowmap
GRCh38,winnowmap,HiFi_latest,HiFi,10x,10,1,0.9229,92.29,GRCh38 · winnowmap
GRCh38,winnowmap,HiFi_latest,HiFi,30x,30,2,0.9294,92.94,GRCh38 · winnowmap
GRCh38,winnowmap,HiFi_latest,HiFi,50x,50,3,0.9314,93.14,GRCh38 · winnowmap
T2T-CHM13,minimap2,BGI_latest,BGI,10x,10,1,0.9856,98.56,T2T-CHM13 · minimap2
T2T-CHM13,minimap2,BGI_latest,BGI,30x,30,2,0.9933,99.33,T2T-CHM13 · minimap2
T2T-CHM13,minimap2,BGI_latest,BGI,50x,50,3,0.9953,99.53,T2T-CHM13 · minimap2
T2T-CHM13,minimap2,ONT_latest,ONT,10x,10,1,0.9884,98.84,T2T-CHM13 · minimap2
T2T-CHM13,minimap2,ONT_latest,ONT,30x,30,2,0.9935,99.35,T2T-CHM13 · minimap2
T2T-CHM13,minimap2,ONT_latest,ONT,50x,50,3,0.9947,99.47,T2T-CHM13 · minimap2
T2T-CHM13,minimap2,HiFi_latest,HiFi,10x,10,1,0.9785,97.85,T2T-CHM13 · minimap2
T2T-CHM13,minimap2,HiFi_latest,HiFi,30x,30,2,0.9838,98.38,T2T-CHM13 · minimap2
T2T-CHM13,minimap2,HiFi_latest,HiFi,50x,50,3,0.9854,98.54,T2T-CHM13 · minimap2
T2T-CHM13,winnowmap,BGI_latest,BGI,10x,10,1,0.9855,98.55,T2T-CHM13 · winnowmap
T2T-CHM13,winnowmap,BGI_latest,BGI,30x,30,2,0.9938,99.38,T2T-CHM13 · winnowmap
T2T-CHM13,winnowmap,BGI_latest,BGI,50x,50,3,0.9958,99.58,T2T-CHM13 · winnowmap
T2T-CHM13,winnowmap,ONT_latest,ONT,10x,10,1,0.9884,98.84,T2T-CHM13 · winnowmap
T2T-CHM13,winnowmap,ONT_latest,ONT,30x,30,2,0.9943,99.43,T2T-CHM13 · winnowmap
T2T-CHM13,winnowmap,ONT_latest,ONT,50x,50,3,0.9958,99.58,T2T-CHM13 · winnowmap
T2T-CHM13,winnowmap,HiFi_latest,HiFi,10x,10,1,0.9772,97.72,T2T-CHM13 · winnowmap
T2T-CHM13,winnowmap,HiFi_latest,HiFi,30x,30,2,0.9831,98.31,T2T-CHM13 · winnowmap
T2T-CHM13,winnowmap,HiFi_latest,HiFi,50x,50,3,0.9849,98.49,T2T-CHM13 · winnowmap
