reference,aligner,source_dataset,platform,depth_label,nominal_depth_x,primary_mapped_fraction,primary_mapped_pct,aligner_index
GRCh38,minimap2,BGI_latest,BGI,30x,30,0.9969,99.69,1
GRCh38,minimap2,ONT_latest,ONT,30x,30,0.9834,98.34,1
GRCh38,minimap2,HiFi_latest,HiFi,30x,30,1,100,1
GRCh38,winnowmap,BGI_latest,BGI,30x,30,0.9933,99.33,2
GRCh38,winnowmap,ONT_latest,ONT,30x,30,0.9832,98.32,2
GRCh38,winnowmap,HiFi_latest,HiFi,30x,30,1,100,2
T2T-CHM13,minimap2,BGI_latest,BGI,30x,30,0.9936,99.36,1
T2T-CHM13,minimap2,ONT_latest,ONT,30x,30,0.9816,98.16,1
T2T-CHM13,minimap2,HiFi_latest,HiFi,30x,30,0.9992,99.92,1
T2T-CHM13,winnowmap,BGI_latest,BGI,30x,30,0.9902,99.02,2
T2T-CHM13,winnowmap,ONT_latest,ONT,30x,30,0.9794,97.94,2
T2T-CHM13,winnowmap,HiFi_latest,HiFi,30x,30,0.9993,99.93,2
