reference,aligner,platform,bam_size_gib,scale_limit_gib,bar_fraction,condition_x,platform_y,track_xmin,track_xmax,bar_xmin,bar_xmax,label_inside,label_x,label_hjust
GRCh38,minimap2,BGI,109.3,115,0.950435,1,3,0.56,1.44,0.56,1.396383,TRUE,1.361383,1
GRCh38,minimap2,ONT,102.88,115,0.894609,1,2,0.56,1.44,0.56,1.347256,TRUE,1.312256,1
GRCh38,minimap2,HiFi,41.01,115,0.356609,1,1,0.56,1.44,0.56,0.873816,FALSE,0.913816,0
GRCh38,winnowmap,BGI,97.34,115,0.846435,2,3,1.56,2.44,1.56,2.304863,TRUE,2.269863,1
GRCh38,winnowmap,ONT,96.05,115,0.835217,2,2,1.56,2.44,1.56,2.294991,TRUE,2.259991,1
GRCh38,winnowmap,HiFi,37.42,115,0.325391,2,1,1.56,2.44,1.56,1.846344,FALSE,1.886344,0
T2T-CHM13,minimap2,BGI,101.55,115,0.883043,3.25,3,2.81,3.69,2.81,3.587078,TRUE,3.552078,1
T2T-CHM13,minimap2,ONT,91.9,115,0.79913,3.25,2,2.81,3.69,2.81,3.513235,TRUE,3.478235,1
T2T-CHM13,minimap2,HiFi,37.35,115,0.324783,3.25,1,2.81,3.69,2.81,3.095809,FALSE,3.135809,0
T2T-CHM13,winnowmap,BGI,90.51,115,0.787043,4.25,3,3.81,4.69,3.81,4.502598,TRUE,4.467598,1
T2T-CHM13,winnowmap,ONT,81.35,115,0.707391,4.25,2,3.81,4.69,3.81,4.432504,TRUE,4.397504,1
T2T-CHM13,winnowmap,HiFi,34.45,115,0.299565,4.25,1,3.81,4.69,3.81,4.073617,FALSE,4.113617,0
