benchmark,truth_set,reference,eval_mode,caller,platform,aligner,depth,precision,recall,F1,platform_aligner
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,BGI,minimap2,30x,0.927075,0.683816,0.78707800000000006,BGI__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,ONT,minimap2,30x,0.924833,0.724781,0.812677,ONT__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,HiFi,minimap2,30x,0.941349,0.686321,0.793856,HiFi__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,BGI,minimap2,30x,0.923658,0.711045,0.803525,BGI__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,ONT,minimap2,30x,0.922248,0.758289,0.83227,ONT__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,HiFi,minimap2,30x,0.941881,0.75074,0.835518,HiFi__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,sawfish,BGI,minimap2,30x,0.900805,0.749563,0.818254,BGI__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,sawfish,ONT,minimap2,30x,0.912196,0.761981,0.83035,ONT__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,sawfish,HiFi,minimap2,30x,0.913739,0.753031,0.825637,HiFi__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,SVDSS,BGI,minimap2,30x,0.904132,0.757044,0.824076,BGI__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,SVDSS,ONT,minimap2,30x,0.927626,0.776301,0.845244,ONT__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,SVDSS,HiFi,minimap2,30x,0.945301,0.768556,0.847815,HiFi__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,BGI,winnowmap,30x,0.924911,0.669456,0.776719,BGI__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,ONT,winnowmap,30x,0.920285,0.709283,0.801124,ONT__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,HiFi,winnowmap,30x,0.920657,0.656491,0.766451,HiFi__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,BGI,winnowmap,30x,0.92601,0.697891,0.795928,BGI__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,ONT,winnowmap,30x,0.921176,0.740635,0.821098,ONT__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,HiFi,winnowmap,30x,0.923548,0.716691,0.807075,HiFi__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,sawfish,BGI,winnowmap,30x,0.898743,0.74691,0.815822,BGI__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,sawfish,ONT,winnowmap,30x,0.909592,0.760734,0.82853,ONT__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,sawfish,HiFi,winnowmap,30x,0.91217,0.751941,0.824342,HiFi__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,SVDSS,BGI,winnowmap,30x,0.906668,0.754237,0.823458,BGI__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,SVDSS,ONT,winnowmap,30x,0.929212,0.775839,0.845628,ONT__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,SVDSS,HiFi,winnowmap,30x,0.936845,0.754201,0.83566,HiFi__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,BGI,minimap2,30x,0.9153,0.7465,0.8223,BGI__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,ONT,minimap2,30x,0.9198,0.6866,0.7863,ONT__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,HiFi,minimap2,30x,0.9412,0.5899,0.7252,HiFi__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,BGI,minimap2,30x,0.9198,0.7926,0.8515,BGI__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,ONT,minimap2,30x,0.9243,0.788,0.8507,ONT__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,HiFi,minimap2,30x,0.9382,0.7696,0.8456,HiFi__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,BGI,minimap2,30x,0.962,0.8157,0.8828,BGI__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,ONT,minimap2,30x,1,0.8433,0.915,ONT__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,HiFi,minimap2,30x,1,0.8111,0.8957,HiFi__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,BGI,minimap2,30x,0.2678,0.8341,0.4054,BGI__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,ONT,minimap2,30x,0.677,0.8018,0.7342,ONT__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,HiFi,minimap2,30x,0.9392,0.7834,0.8543,HiFi__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,BGI,winnowmap,30x,0.9461,0.7281,0.8229,BGI__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,ONT,winnowmap,30x,0.9669,0.6728,0.7935,ONT__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,HiFi,winnowmap,30x,0.9478,0.5853,0.7236,HiFi__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,BGI,winnowmap,30x,0.9344,0.788,0.855,BGI__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,ONT,winnowmap,30x,0.9344,0.788,0.855,ONT__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,HiFi,winnowmap,30x,0.9218,0.7604,0.8333,HiFi__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,BGI,winnowmap,30x,0.9365,0.8157,0.8719,BGI__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,ONT,winnowmap,30x,0.9634,0.8479,0.902,ONT__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,HiFi,winnowmap,30x,0.9724,0.8111,0.8844,HiFi__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,BGI,winnowmap,30x,0.2799,0.8295,0.4186,BGI__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,ONT,winnowmap,30x,0.6899,0.8203,0.7495,ONT__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,HiFi,winnowmap,30x,0.8974,0.8065,0.8495,HiFi__winnowmap
