benchmark,truth_set,reference,eval_mode,caller,platform,aligner,depth,precision,recall,F1,platform_aligner
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,BGI,minimap2,10x,0.92238,0.640619,0.756103,BGI__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,ONT,minimap2,10x,0.920655,0.685388,0.785789,ONT__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,HiFi,minimap2,10x,0.941817,0.653522,0.77162,HiFi__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,BGI,minimap2,10x,0.926705,0.596164,0.725562,BGI__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,ONT,minimap2,10x,0.926301,0.664533,0.77388,ONT__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,HiFi,minimap2,10x,0.947876,0.628852,0.75609,HiFi__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,sawfish,BGI,minimap2,10x,0.922128,0.686226,0.786877,BGI__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,sawfish,ONT,minimap2,10x,0.922951,0.720868,0.809488,ONT__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,sawfish,HiFi,minimap2,10x,0.92507,0.706903,0.801404,HiFi__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,SVDSS,BGI,minimap2,10x,0.858042,0.678877,0.758017,BGI__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,SVDSS,ONT,minimap2,10x,0.921609,0.733452,0.816835,ONT__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,SVDSS,HiFi,minimap2,10x,0.95279,0.690069,0.800423,HiFi__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,BGI,winnowmap,10x,0.924273,0.629361,0.748827,BGI__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,ONT,winnowmap,10x,0.91942,0.669542,0.774833,ONT__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,HiFi,winnowmap,10x,0.918229,0.626496,0.744815,HiFi__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,BGI,winnowmap,10x,0.931933,0.577562,0.713151,BGI__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,ONT,winnowmap,10x,0.927308,0.640705,0.757814,ONT__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,HiFi,winnowmap,10x,0.930512,0.594477,0.725472,HiFi__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,sawfish,BGI,winnowmap,10x,0.92085,0.679851,0.782209,BGI__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,sawfish,ONT,winnowmap,10x,0.922411,0.714469,0.805232,ONT__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,sawfish,HiFi,winnowmap,10x,0.924662,0.699063,0.796191,HiFi__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,SVDSS,BGI,winnowmap,10x,0.860518,0.664807,0.750107,BGI__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,SVDSS,ONT,winnowmap,10x,0.923748,0.723219,0.811276,ONT__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,SVDSS,HiFi,winnowmap,10x,0.944636,0.678167,0.789524,HiFi__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,BGI,minimap2,10x,0.8837,0.7005,0.7815,BGI__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,ONT,minimap2,10x,0.9156,0.6498,0.7601,ONT__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,HiFi,minimap2,10x,0.9328,0.576,0.7123,HiFi__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,BGI,minimap2,10x,0.908,0.682,0.7789,BGI__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,ONT,minimap2,10x,0.9167,0.659,0.7668,ONT__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,HiFi,minimap2,10x,0.9318,0.5668,0.7049,HiFi__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,BGI,minimap2,10x,0.9882,0.7742,0.8682,BGI__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,ONT,minimap2,10x,1,0.7972,0.8872,ONT__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,HiFi,minimap2,10x,1,0.7281,0.8427,HiFi__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,BGI,minimap2,10x,0.609,0.7465,0.6708,BGI__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,ONT,minimap2,10x,0.83,0.765,0.7962,ONT__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,HiFi,minimap2,10x,0.9481,0.6728,0.7871,HiFi__minimap2
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,BGI,winnowmap,10x,0.9371,0.6866,0.7926,BGI__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,ONT,winnowmap,10x,0.94,0.6498,0.7684,ONT__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,HiFi,winnowmap,10x,0.9385,0.5622,0.7032,HiFi__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,BGI,winnowmap,10x,0.9363,0.6774,0.7861,BGI__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,ONT,winnowmap,10x,0.9474,0.6636,0.7805,ONT__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,HiFi,winnowmap,10x,0.9375,0.553,0.6957,HiFi__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,BGI,winnowmap,10x,0.9605,0.7834,0.8629,BGI__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,ONT,winnowmap,10x,1,0.7788,0.8756,ONT__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,HiFi,winnowmap,10x,0.9937,0.7235,0.8373,HiFi__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,BGI,winnowmap,10x,0.6434,0.765,0.6989,BGI__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,ONT,winnowmap,10x,0.871,0.7465,0.804,ONT__winnowmap
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,HiFi,winnowmap,10x,0.9481,0.6728,0.7871,HiFi__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,BGI,minimap2,50x,0.926579,0.719086,0.809751,BGI__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,ONT,minimap2,50x,0.922745,0.757065,0.831735,ONT__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,HiFi,minimap2,50x,0.938043,0.754482,0.836309,HiFi__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,BGI,minimap2,50x,0.925299,0.717588,0.808313,BGI__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,ONT,minimap2,50x,0.922495,0.762193,0.834717,ONT__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,HiFi,minimap2,50x,0.941016,0.761304,0.841674,HiFi__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,sawfish,BGI,minimap2,50x,0.886127,0.757848,0.816983,BGI__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,sawfish,ONT,minimap2,50x,0.90667,0.767126,0.831081,ONT__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,sawfish,HiFi,minimap2,50x,0.908126,0.758368,0.826518,HiFi__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,SVDSS,BGI,minimap2,50x,0.908857,0.766886,0.831857,BGI__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,SVDSS,ONT,minimap2,50x,0.929449,0.77957,0.847937,ONT__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,SVDSS,HiFi,minimap2,50x,0.945166,0.779002,0.854077,HiFi__minimap2
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,BGI,winnowmap,50x,0.921354,0.71194,0.803222,BGI__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,ONT,winnowmap,50x,0.916564,0.747978,0.823734,ONT__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,cuteSV,HiFi,winnowmap,50x,0.91409,0.728099,0.810562,HiFi__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,BGI,winnowmap,50x,0.926203,0.710148,0.803912,BGI__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,ONT,winnowmap,50x,0.919555,0.747439,0.824611,ONT__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,Sniffles2,HiFi,winnowmap,50x,0.921415,0.727791,0.813237,HiFi__winnowmap
T2TQ100,T2T-Q100 v1.1,GRCh38,基于比对,sawfish,BGI,winnowmap,50x,0.884138,0.755962,0.815041,BGI__winnowmap
