benchmark,truth_set,reference,eval_mode,caller,platform,aligner,depth,precision,recall,F1,platform_aligner,shown_in_inset
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,BGI,minimap2,30x,0.9153,0.7465,0.8223,BGI__minimap2,TRUE
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,ONT,minimap2,30x,0.9198,0.6866,0.7863,ONT__minimap2,FALSE
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,HiFi,minimap2,30x,0.9412,0.5899,0.7252,HiFi__minimap2,FALSE
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,BGI,minimap2,30x,0.9198,0.7926,0.8515,BGI__minimap2,TRUE
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,ONT,minimap2,30x,0.9243,0.788,0.8507,ONT__minimap2,TRUE
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,HiFi,minimap2,30x,0.9382,0.7696,0.8456,HiFi__minimap2,TRUE
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,BGI,minimap2,30x,0.962,0.8157,0.8828,BGI__minimap2,TRUE
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,ONT,minimap2,30x,1,0.8433,0.915,ONT__minimap2,TRUE
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,HiFi,minimap2,30x,1,0.8111,0.8957,HiFi__minimap2,TRUE
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,BGI,minimap2,30x,0.2678,0.8341,0.4054,BGI__minimap2,FALSE
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,ONT,minimap2,30x,0.677,0.8018,0.7342,ONT__minimap2,FALSE
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,HiFi,minimap2,30x,0.9392,0.7834,0.8543,HiFi__minimap2,TRUE
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,BGI,winnowmap,30x,0.9461,0.7281,0.8229,BGI__winnowmap,TRUE
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,ONT,winnowmap,30x,0.9669,0.6728,0.7935,ONT__winnowmap,FALSE
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,HiFi,winnowmap,30x,0.9478,0.5853,0.7236,HiFi__winnowmap,FALSE
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,BGI,winnowmap,30x,0.9344,0.788,0.855,BGI__winnowmap,TRUE
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,ONT,winnowmap,30x,0.9344,0.788,0.855,ONT__winnowmap,TRUE
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,HiFi,winnowmap,30x,0.9218,0.7604,0.8333,HiFi__winnowmap,TRUE
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,BGI,winnowmap,30x,0.9365,0.8157,0.8719,BGI__winnowmap,TRUE
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,ONT,winnowmap,30x,0.9634,0.8479,0.902,ONT__winnowmap,TRUE
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,HiFi,winnowmap,30x,0.9724,0.8111,0.8844,HiFi__winnowmap,TRUE
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,BGI,winnowmap,30x,0.2799,0.8295,0.4186,BGI__winnowmap,FALSE
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,ONT,winnowmap,30x,0.6899,0.8203,0.7495,ONT__winnowmap,FALSE
CMRG,GIAB CMRG,GRCh38,基于比对,SVDSS,HiFi,winnowmap,30x,0.8974,0.8065,0.8495,HiFi__winnowmap,FALSE
