sheet,cells_total,cells_in_tables,cells_in_notes
实验设计,225,210,15
工具及参数,607,605,2
NanoPlot_Result,130,123,7
NanoPlot_Result(副本),138,138,0
比对结果,291,288,3
表观错误谱预评估,136,133,3
SV-T2T结果,2546,2545,1
SV-GIAB5.0q,2747,2746,1
cuteSV-HiFi,92,82,10
SV-CMRG结果,1740,1740,0
BGI最适深度探究,783,778,5
cutesv调参,4583,0,4583
cutesv调参(结果),700,0,700
Sniffles2调参,272,265,7
STR（短串联重复变异）结果,203,192,11
SNV结果,476,473,3
phasing-SNP_Block_Stats,683,657,26
phasing_SNP_Compare_GIAB,595,581,14
Longphase_SV_Benchmark,394,376,18
Whatshap-Phasing,559,549,10
Whatshap-Phasing-haplotag,307,300,7
ME（移动元件插入）结果,93,92,1
Mosaic pilot,106,102,4
Merqury 结果,111,108,3
拼接性能评测,2,0,2
