sheet,cell,fill_argb,meaning,value
实验设计,I14,FFFFF2CC,Sniffles2调参：该列最高 F1（源文件 r17 黄色图例）,进行中 / 收尾
工具及参数,N16,FFFFF2CC,Sniffles2调参：该列最高 F1（源文件 r17 黄色图例）,部分确认
工具及参数,M21,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,部分输出；非重点
工具及参数,M25,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,结果已汇总
工具及参数,N25,FFFFF2CC,Sniffles2调参：该列最高 F1（源文件 r17 黄色图例）,部分确认
工具及参数,M29,FFFFF2CC,Sniffles2调参：该列最高 F1（源文件 r17 黄色图例）,9/9 + 2 个跨深度验证完成
工具及参数,M42,FFFFF2CC,Sniffles2调参：该列最高 F1（源文件 r17 黄色图例）,部分完成；50x 运行中
工具及参数,M46,FFFFF2CC,Sniffles2调参：该列最高 F1（源文件 r17 黄色图例）,dipcall/SVIM/SyRI 有输出；PAV 运行中
SV-GIAB5.0q,E120,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,minimap2 - T2T_CHM13
SV-GIAB5.0q,T120,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,refine
cutesv调参,G35,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,precision
cutesv调参,H35,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,recall
cutesv调参,I35,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,F1
cutesv调参,J35,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,concordance
cutesv调参,K35,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,gt-precision
cutesv调参,L35,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,gt-recall
cutesv调参,M35,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,gt-F1
cutesv调参,N35,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,tp-base
cutesv调参,O35,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,tp-call
cutesv调参,P35,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,fp
cutesv调参,Q35,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,fn
cutesv调参,R35,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,TP-call-TP
cutesv调参,S35,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,TP-call-FP
cutesv调参,T35,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,TP-base-TP
cutesv调参,U35,FFD9EAD3,Sniffles2调参：综合推荐参数行（源文件 r17 浅绿图例）,TP-base-FP
cutesv调参,H36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,0.7204
cutesv调参,I36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,0.8104
cutesv调参,J36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,0.7974
cutesv调参,K36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,0.7385
cutesv调参,L36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,0.502
cutesv调参,M36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,0.5977
cutesv调参,N36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,20263
cutesv调参,O36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,17708
cutesv调参,Q36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,7863
cutesv调参,R36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,14120
cutesv调参,T36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,14120
cutesv调参,V36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,23653
cutesv调参,W36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,18541
cutesv调参,Y36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,4473
cutesv调参,Z36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,0.9697
cutesv调参,AA36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,0.841
cutesv调参,AB36,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,0.9007
cutesv调参,G90,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,0.9288
cutesv调参,P90,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,1329
cutesv调参,X90,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,571
cutesv调参,S96,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,3426
cutesv调参,U96,FF5B9BD5,cutesv调参：-q 10 组内该列指标最优（源文件 r200 蓝色图例）,5885
