sheet,cell,row,col,text
实验设计,A1,1,A,HG002 华大新数据评测 - 最新实验设计
实验设计,A2,2,A,截至 2026-07-13：根据结果表、lan02/Rhea 当前输出、项目脚本与日志更新；正式真实错误谱、深度梯度和 assembly-based SV 的证据层级已重新区分。
实验设计,A27,27,A,评测边界与统一规则
实验设计,A28,28,A,核心矩阵
实验设计,B28,28,B,BGI_latest / ONT_latest / HiFi_latest × 10x / 30x / 50x × minimap2 / winnowmap；特定专项另列扩展深度。
实验设计,A29,29,A,小变异 truth
实验设计,B29,29,B,GRCh38 使用 GIAB v5.0q；truth/query 同时排除 chr3:16902750-16903050；复杂区域采用 GIAB v3.1 stratification。
实验设计,A30,30,A,SV truth
实验设计,B30,30,B,GRCh38 使用 HG002 T2TQ100 v1.1 SV truth + benchmark BED；困难医学基因使用 CMRG；Raw 与 Truvari refine 分开报告。
实验设计,A31,31,A,T2T-CHM13
实验设计,B31,31,B,主要用于 mapping/QC、参考偏差和复杂区域补充；GRCh38 坐标的 CMRG/T2TQ100 truth 不直接套用到 CHM13 call。
实验设计,A32,32,A,正式真实错误谱
实验设计,B32,32,B,采用 HG002 hg002v1.1 maternal/paternal 分开比对 + read-level best-haplotype；GRCh38/GIAB-mask 仅作为 apparent-error pilot。
实验设计,B33,33,B,BGI 50x / GRCh38 / minimap2 的最优参数只作为 BGI 专项建议，不替代 ONT、HiFi 或其他 truth set 的基线参数。
实验设计,B34,34,B,当前为 candidate/VAF pilot；没有充分 truth set 时不输出严格 Precision 结论。
工具及参数,A1,1,A,HG002 华大新数据评测 - 实验流程与参数核对表（更新版）
工具及参数,A2,2,A,仅整理流程、工具、参数、路径和状态；不包含结果优劣解释。核对时间：lan02 2026-07-13 14:54 CST；Rhea 2026-07-13 07:01 UTC；本地结果/脚本截至 2026-07-13。
NanoPlot_Result,F11,11,F,大概测序深度
NanoPlot_Result,I11,11,I,一半数据量来自长度不低于这个值的 reads
NanoPlot_Result,J12,12,J,碱基质量值
NanoPlot_Result,B13,13,B,BGI 的下采样数据量非常接近目标深度，10x、30x、50x 都很稳定。尤其 50x 的实际 coverage 为 49.978x，基本等同于目标深度
NanoPlot_Result,L13,13,L,+Q20(q30)
NanoPlot_Result,B14,14,B,BGI read N50 明显高于 HiFi，具备较好的长程信息
NanoPlot_Result,B15,15,B,从原始reads Q 值看，BGI_latest 的 Median Q 为 19.2，Mean Q 为 16.8，说明 BGI 数据整体属于中等质量长读长数据，质量分布相对稳定，但碱基级准确性明显低于 HiFi。
比对结果,G20,20,G,reads 主要比对成功比例
比对结果,C21,21,C,BGI 在 GRCh38 常规比对中表现稳定
比对结果,E21,21,E,T2T-CHM13 上，BGI 的覆盖率明显高于 GRCh38，也高于 HiFi
表观错误谱预评估,A1,1,A,HG002 表观错误谱预评估：GRCh38 + GIAB truth mask pilot（30x）
表观错误谱预评估,A2,2,A,"Pilot only: GRCh38 reference; GIAB v5.0q high-confidence regions intersected with chr1/2/3 1 Mb windows; GIAB truth variant sites masked; MAPQ>=20, BQ>=20. This is not the final donor-specific assembly true error spectrum."
表观错误谱预评估,A3,3,A,Source: /io/yingqiw/new_evaluation/evaluate/true_error_spectrum_pilot/tables/true_error_spectrum_pilot_30x_summary.complete.tsv
SV-T2T结果,A1,1,A,BGI SV 可用，sawfish 表现较好，30x 综合表现较优
SV-GIAB5.0q,C58,58,C,BGI 在 SV 检测上已经具备较强可用性
cuteSV-HiFi,A10,10,A,趋势非常一致：
cuteSV-HiFi,A11,11,A,Precision 提高约 0.9–1.1 个百分点；
cuteSV-HiFi,A12,12,A,Recall 下降约 2.8–6.1 个百分点；
cuteSV-HiFi,A13,13,A,深度越高，F1 损失越明显。
cuteSV-HiFi,A15,15,A,refine 后也没有逆转：
cuteSV-HiFi,A26,26,A,这说明1000/0.9/1000/0.5更强地聚类、合并 HiFi 信号，候选数量减少约 18–21%。它减少了 FP，但同时丢失更多 TP，所以 GIAB recall 和 F1 下降。
cuteSV-HiFi,A32,32,A,因此不能简单说 HiFi 参数全面更差：
cuteSV-HiFi,A33,33,A,全基因组 GIAB：旧参数明显更好；
cuteSV-HiFi,A34,34,A,困难医学基因 CMRG：HiFi 参数略好；
cuteSV-HiFi,A35,35,A,官方推荐参数是通用建议，不保证在当前比对器、覆盖度和 truth set 下 F1 最优。
BGI最适深度探究,A1,1,A,HG002 BGI结构变异深度梯度评测汇总
BGI最适深度探究,A2,2,A,GRCh38 · minimap2 · cuteSV / Sniffles2 / sawfish / SVDSS · Truvari基础评测与refine
BGI最适深度探究,A67,67,A,判读：35–40x后平均refine F1进入平台；综合成本与准确率推荐40x，准确率优先可选50x。
BGI最适深度探究,A68,68,A,斜率定义：ΔF1/5x = 相邻可用深度F1变化量按每增加5x归一化；90x相对70x按20x间隔折算。
BGI最适深度探究,A69,69,A,数据来源：10/30/50x来自latest_data_evaluation.xlsx的SV-T2T结果；其余来自lan02 Truvari summary.json与refine.variant_summary.json。
cutesv调参,A1,1,A,run_id
cutesv调参,B1,1,B,profile
cutesv调参,C1,1,C,min_support
cutesv调参,D1,1,D,max_cluster_bias_INS
cutesv调参,E1,1,E,diff_ratio_merging_INS
cutesv调参,F1,1,F,max_cluster_bias_DEL
cutesv调参,G1,1,G,diff_ratio_merging_DEL
cutesv调参,H1,1,H,raw_precision
cutesv调参,I1,1,I,raw_recall
cutesv调参,J1,1,J,raw_f1
cutesv调参,K1,1,K,raw_TP-base
cutesv调参,L1,1,L,raw_TP-comp
cutesv调参,M1,1,M,raw_FP
cutesv调参,N1,1,N,raw_FN
cutesv调参,A2,2,A,P01_ONT_s5
cutesv调参,B2,2,B,ONT_like
cutesv调参,C2,2,C,5
cutesv调参,D2,2,D,100
cutesv调参,E2,2,E,0.3
cutesv调参,F2,2,F,100
cutesv调参,G2,2,G,0.3
cutesv调参,H2,2,H,0.926156077
cutesv调参,I2,2,I,0.728177778
cutesv调参,J2,2,J,0.815320646
cutesv调参,K2,2,K,20480
cutesv调参,L2,2,L,17885
cutesv调参,M2,2,M,1426
cutesv调参,N2,2,N,7645
cutesv调参,A3,3,A,P02_ONT_s10
cutesv调参,B3,3,B,ONT_like
cutesv调参,C3,3,C,10
cutesv调参,D3,3,D,100
cutesv调参,E3,3,E,0.3
cutesv调参,F3,3,F,100
cutesv调参,G3,3,G,0.3
cutesv调参,H3,3,H,0.926578561
cutesv调参,I3,3,I,0.719085544
cutesv调参,J3,3,J,0.809751208
cutesv调参,K3,3,K,20225
cutesv调参,L3,3,L,17668
cutesv调参,M3,3,M,1400
cutesv调参,N3,3,N,7901
cutesv调参,A4,4,A,P03_ONT_s15
cutesv调参,B4,4,B,ONT_like
cutesv调参,C4,4,C,15
cutesv调参,D4,4,D,100
cutesv调参,E4,4,E,0.3
cutesv调参,F4,4,F,100
cutesv调参,G4,4,G,0.3
cutesv调参,H4,4,H,0.928278024
cutesv调参,I4,4,I,0.700092454
cutesv调参,J4,4,J,0.798197276
cutesv调参,K4,4,K,19688
cutesv调参,L4,4,L,17175
cutesv调参,M4,4,M,1327
cutesv调参,N4,4,N,8434
cutesv调参,A5,5,A,P04_HiFi_s5
cutesv调参,B5,5,B,HiFi_like
cutesv调参,C5,5,C,5
cutesv调参,D5,5,D,1000
cutesv调参,E5,5,E,0.9
cutesv调参,F5,5,F,1000
cutesv调参,G5,5,G,0.5
cutesv调参,H5,5,H,0.74882879
cutesv调参,I5,5,I,0.593732214
cutesv调参,J5,5,J,0.662321897
cutesv调参,K5,5,K,16691
cutesv调参,L5,5,L,14066
cutesv调参,M5,5,M,4718
cutesv调参,N5,5,N,11421
cutesv调参,A6,6,A,P05_HiFi_s10
cutesv调参,B6,6,B,HiFi_like
cutesv调参,C6,6,C,10
cutesv调参,D6,6,D,1000
cutesv调参,E6,6,E,0.9
cutesv调参,F6,6,F,1000
cutesv调参,G6,6,G,0.5
cutesv调参,H6,6,H,0.748924037
cutesv调参,I6,6,I,0.587195447
cutesv调参,J6,6,J,0.658271644
cutesv调参,K6,6,K,16509
cutesv调参,L6,6,L,13921
cutesv调参,M6,6,M,4667
cutesv调参,N6,6,N,11606
cutesv调参,A7,7,A,P06_HiFi_s15
cutesv调参,B7,7,B,HiFi_like
cutesv调参,C7,7,C,15
cutesv调参,D7,7,D,1000
cutesv调参,E7,7,E,0.9
cutesv调参,F7,7,F,1000
cutesv调参,G7,7,G,0.5
cutesv调参,H7,7,H,0.755828153
cutesv调参,I7,7,I,0.574934206
